Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
13-04-23,50.47,50.47,47.86,49.15,49.35,122650,413,6053293,99475,81.1,2.61,-1.32
12-04-23,49.98,51,49.3,50.07,49.99,193359,417,9665903,166630,86.18,1.7,0.09
11-04-23,48.87,50.05,47.76,49.9,49.21,270964,509,13335488,208486,76.94,2.29,1.03
10-04-23,51.49,51.49,48,48.16,49.9,339774,517,16954583,280083,82.43,3.49,-3.33
06-04-23,48.4,49.04,47.65,49.04,48.8,245835,441,11996688,203526,82.79,1.39,0.64
05-04-23,44.5,46.71,44.5,46.71,46.15,105792,289,4882588,93036,87.94,2.21,2.21
03-04-23,44.5,44.58,43.71,44.49,44.42,45481,124,2020092,40074,88.11,0.87,-0.01
31-03-23,44.55,46.2,43.83,44.43,44.93,105617,289,4745278,86329,81.74,2.37,-0.12
29-03-23,44.7,45.2,43.05,44.32,44.31,140104,282,6208313,118461,84.55,2.15,-0.38
28-03-23,43.7,44.8,42.1,43.28,42.79,209234,318,8954150,175477,83.87,2.7,-0.42
27-03-23,45.5,45.62,43.82,43.91,44.29,232815,406,10311183,200780,86.24,1.8,-1.59
24-03-23,47,48.5,46,46.12,46.74,218309,406,10203285,183045,83.85,2.5,-0.88
23-03-23,46.3,48.25,46.3,46.96,47.05,99364,229,4675302,82182,82.71,1.95,0.66
22-03-23,48,48.4,46.55,46.77,47.01,47261,189,2221889,37568,79.49,1.85,-1.23
21-03-23,50.99,50.99,47.55,47.93,49.9,403571,658,20140141,256164,63.47,3.44,-3.06
20-03-23,48,48.57,46.51,48.57,48.18,268253,409,12925143,243911,90.93,2.06,0.57
17-03-23,46.5,47.75,45.6,46.26,46.62,120524,345,5618576,85047,70.56,2.15,-0.24
16-03-23,44.31,46.39,44.01,45.57,45.31,132093,317,5985775,102455,77.56,2.38,1.26
15-03-23,45.99,46.29,44.67,45.15,45.41,137368,281,6237342,82863,60.32,1.62,-0.84
14-03-23,45.78,46.9,44.58,45.22,46.04,340336,659,15668368,253892,74.6,2.32,-0.56
13-03-23,47,48.2,44.08,44.67,45.9,152707,428,7009675,135897,88.99,4.12,-2.33
10-03-23,47.73,47.73,44.11,46.4,47.17,459478,910,21674548,326395,71.04,3.62,-1.33
09-03-23,45.47,45.47,45.02,45.46,45.46,221407,392,10066237,166258,75.09,0.45,-0.01
08-03-23,42.39,43.31,41.5,43.31,43.17,86941,161,3753135,80715,92.84,1.81,0.92
06-03-23,42,42.29,41.1,41.25,41.54,63513,197,2638362,48932,77.04,1.19,-0.75
03-03-23,44.89,44.89,41.95,42.03,42.7,165132,407,7050311,124764,75.55,2.94,-2.86
02-03-23,44.1,44.79,42,44.15,43.18,71485,225,3086876,55906,78.21,2.79,0.05
01-03-23,43.25,43.88,42.1,43.43,43.13,73996,204,3191598,68537,92.62,1.78,0.18
28-02-23,41.6,43.05,41.6,42.9,42.83,116485,220,4989496,113062,97.06,1.45,1.3
27-02-23,42,42.9,40.2,42.4,41.74,63156,181,2636243,63156,100,2.7,0.4
24-02-23,40.3,43.4,40.3,42.1,42.53,118633,287,5045271,118633,100,3.1,1.8
23-02-23,41.05,42,40.05,41.35,41.12,57806,119,2377184,57806,100,1.95,0.3
22-02-23,41.25,42.5,40.05,40.3,41.29,76218,214,3147240,76218,100,2.45,-0.95
21-02-23,40.55,41.75,39.5,41.5,40.78,32850,81,1339614,32850,100,2.25,0.95
20-02-23,41.5,41.5,39.75,40.55,40.49,45187,101,1829672,45187,100,1.75,-0.95
17-02-23,39.9,41.5,39.9,40.85,40.44,33235,81,1343895,33235,100,1.6,0.95
16-02-23,41.75,42.5,40.1,40.5,41.05,21078,107,865356,21078,100,2.4,-1.25
15-02-23,41.05,42,40.6,41.35,41.04,34776,102,1427333,34776,100,1.4,0.3
14-02-23,42.35,42.9,41,42.3,41.64,42431,136,1767029,42431,100,1.9,-0.05
13-02-23,40.95,42.95,40.15,42.35,42.24,125200,211,5288859,125200,100,2.8,1.4
10-02-23,41.45,42,40,40.95,41.42,24478,121,1013951,24478,100,2,-0.5
09-02-23,40.25,41.5,39.05,40.8,40.75,28122,124,1145945,28122,100,2.45,0.55
08-02-23,41.2,41.2,39.15,39.7,40.08,30943,128,1240110,30943,100,2.05,-1.5
07-02-23,39.7,40.75,39.3,40.25,40.02,27962,105,1119085,27962,100,1.45,0.55
06-02-23,38.15,39.95,38.1,39.55,38.83,22463,118,872315,22463,100,1.85,1.4
03-02-23,40.5,41.4,38.85,39.5,39.16,151948,253,5949598,151948,100,2.55,-1
02-02-23,40.6,41.3,39.15,40.85,40.49,31548,137,1277510,31548,100,2.15,0.25
01-02-23,42.15,42.15,40,40.5,40.68,53900,176,2192718,53900,100,2.15,-1.65
31-01-23,40.1,42.1,40.1,41.65,41.98,76145,120,3196905,76145,100,2,1.55
30-01-23,41,41.7,40,40.1,40.6,17813,113,723165,17813,100,1.7,-0.9
27-01-23,40.35,41.5,39.05,41.1,40.45,30080,167,1216594,30080,100,2.45,0.75
25-01-23,41.05,42.5,39.75,40.3,41.21,46122,176,1900542,46122,100,2.75,-0.75
24-01-23,41,42.25,41,41.4,41.69,26950,136,1123496,26950,100,1.25,0.4
23-01-23,42,42.25,40.2,40.55,41.24,33456,149,1379686,33456,100,2.05,-1.45
20-01-23,42.5,42.7,41.3,41.65,41.79,19971,106,834509,19971,100,1.4,-0.85
19-01-23,42.55,43.2,42,42.1,42.36,38131,146,1615228,38131,100,1.2,-0.45
18-01-23,42.5,44.4,42.5,43.25,43.97,70293,222,3090607,70293,100,1.9,0.75
17-01-23,42.4,44,42.1,42.3,43.1,20436,139,880746,20436,100,1.9,-0.1
16-01-23,44,45.9,42.4,42.65,44.32,85873,229,3805990,85873,100,3.5,-1.35
13-01-23,42.5,45.15,42.5,44.1,44.07,56325,229,2482036,56325,100,2.65,1.6
12-01-23,42.4,43.55,41.85,43.2,43.06,54981,133,2367729,54981,100,1.7,0.8
11-01-23,43.9,43.9,42.05,42.25,42.68,32679,140,1394614,32679,100,1.85,-1.65
10-01-23,42.05,43.5,42,43.3,42.76,42051,132,1798240,42051,100,1.5,1.25
09-01-23,42.5,44.1,42,42.8,43.79,183502,330,8035421,183502,100,2.1,0.3
06-01-23,41.2,43.5,41.2,42,42.53,55040,204,2341063,55040,100,2.3,0.8
05-01-23,40.95,42.8,40.95,42.2,42.03,65213,216,2740711,65213,100,1.85,1.25
04-01-23,41.8,42.75,40.75,40.9,41.59,37935,202,1577728,37935,100,2,-0.9
03-01-23,39.3,41.25,39.3,41.25,40.81,67619,249,2759453,67619,100,1.95,1.95
02-01-23,38.7,39.45,38.2,39.3,38.54,88125,205,3396572,88125,100,1.25,0.6
30-12-22,38.5,38.5,38.1,38.1,38.24,96804,193,3701744,96804,100,0.4,-0.4
29-12-22,38.05,39,37.8,38.45,38.42,133175,250,5116407,133175,100,1.2,0.4
28-12-22,40.5,40.5,38.65,39.1,39.46,84984,274,3353269,84984,100,1.85,-1.4
27-12-22,42.5,42.5,40.55,40.6,40.93,104162,374,4263395,104162,100,1.95,-1.9
26-12-22,40,43.2,39.7,42.65,41.95,52423,237,2198919,52423,100,3.5,2.65
23-12-22,43.6,43.6,41.65,41.75,41.81,120116,334,5022622,120116,100,1.95,-1.85
22-12-22,42.35,44.4,40.25,43.8,41.77,175660,462,7337261,175660,100,4.15,1.45
21-12-22,44.75,45.45,41.55,42.35,43.77,118856,390,5202686,118856,100,3.9,-2.4
20-12-22,43.4,43.65,41.55,43.65,43.3,69976,266,3030093,69976,100,2.1,0.25
19-12-22,42.15,43,41,41.6,41.84,53712,279,2247055,53712,100,2,-0.55
16-12-22,44.05,44.8,42,42.65,42.76,72763,295,3111041,72763,100,2.8,-1.4
15-12-22,45.5,45.65,44,44,44.56,65432,255,2915372,65432,100,1.65,-1.5
14-12-22,46.8,46.85,44.15,44.85,45.75,96368,321,4409293,96368,100,2.7,-1.95
13-12-22,44.45,45.75,44,45.75,45.56,168053,270,7657093,168053,100,1.75,1.3
12-12-22,43.05,44.5,41.95,43.6,42.48,235946,566,10022749,235946,100,2.55,0.55
09-12-22,46,46.05,43.6,44.15,44.18,230615,688,10188143,230615,100,2.45,-1.85
08-12-22,47.6,47.6,45.25,45.85,46.07,116524,518,5368191,116524,100,2.35,-1.75
07-12-22,50.85,50.85,47.6,47.6,47.75,202695,667,9679009,202695,100,3.25,-3.25
06-12-22,53,53,49.2,50.1,51.31,174493,631,8953630,174493,100,3.8,-2.9
05-12-22,52.1,54.4,49.25,51.7,52.26,471175,1635,24622116,311455,66.1,5.15,-0.4
02-12-22,48,51.7,47.3,51.35,50.09,586747,1789,29391333,392265,66.85,4.4,3.35
01-12-22,43.85,47.15,43,47.15,46.52,755586,1576,35153626,481155,63.68,4.15,3.3
30-11-22,44.6,46.9,40.6,42.9,43.19,506661,1332,21882864,303708,59.94,6.3,-1.7
29-11-22,49,49.7,43.8,45.1,46.07,621310,1860,28624796,388636,62.55,5.9,-3.9
28-11-22,42,48.8,42,48.65,47.2,1553113,3493,73307615,1041522,67.06,6.8,6.65
25-11-22,40.25,42,39.15,40.7,41.26,415484,1182,17142877,271656,65.38,2.85,0.45
